"La historia real tras Chucky… el muñeco diabólico","Episodio del 05/12/2019","
¿Sabían que en la vida real el muñeco ‘Robert’, que inspiró la película 'Chucky', fue hecho por una persona que practicaba la hechicería y el control de demonios? ¿Sabían también que una niña aseguró que ‘Robert’ trató de asesinarla? También… se dice cambiaba de lugares en la habitación donde lo ponían y observaba desde una ventana a estudiantes. En ‘Viaje a otra dimensión’: ‘La historia real tras Chucky… el muñeco diabólico’
","https://media.rpp.pe/cutter/audio/capital/2019/12/05/54.mp3"
"Actividad paranormal en ‘La piscina de los muertos’","Episodio del 04/12/2019","
Espíritus de una niña y un hombre rondan, según testigos, una popular piscina construida en medio del cementerio Nueva Esperanza en Villa María del Triunfo. Es al caer la noche que la actividad paranormal se incrementa… lamentos, ruidos, y movimientos inexplicables de objetos como mangueras se suscitan. En ‘Viaje a otra dimensión’: ‘Actividad paranormal en La piscina de los muertos’ 
","https://media.rpp.pe/cutter/audio/capital/2019/12/04/54.mp3"
"Acosado por extraterrestres: la historia de Óscar Romero","Episodio del 03/12/2019","
Todo parecía una pesadilla hasta que en una oportunidad, estando completamente despierto, sucedieron cosas inauditas: presencias terroríficas en su dormitorio, colocación de chips en su cabeza y hasta un extraño estado de parálisis del sueño de su menor hija... En Viaje a otra dimensión: ‘Acosado por extraterrestres: la historia de Óscar Romero’
","https://media.rpp.pe/cutter/audio/capital/2019/12/03/54.mp3"
"Viaje a Otra Dimensión con Anthony Choy","Episodio del 02/12/2019","
Viaje a Otra Dimensión con Anthony Choy
","https://media.rpp.pe/cutter/audio/capital/2019/12/02/54.mp3"
"Viaje a Otra Dimensión con el Dr. Anthony Choy","Episodio del 29/11/2019","
Viaje a Otra Dimensión con el Dr. Anthony Choy
","https://media.rpp.pe/cutter/audio/capital/2019/11/29/54.mp3"
"Viaje a Otra Dimensión con el Dr. Anthony Choy","Episodio del 28/11/2019","
Viaje a Otra Dimensión con el Dr. Anthony Choy
","https://media.rpp.pe/cutter/audio/capital/2019/11/28/54.mp3"
"Viaje a Otra Dimensión con el Dr. Anthony Choy","Episodio del 27/11/2019","
Viaje a Otra Dimensión con el Dr. Anthony Choy
","https://media.rpp.pe/cutter/audio/capital/2019/11/27/54.mp3"
"Depredadores Invisibles en la selva peruana: La Historia de José María","Episodio del 26/11/2019","
Una cuadrilla de trabajadores petroleros se internaron en la selva para reparar un oleoducto, cuando vieron algo increíble: naves y seres de otros mundos...¿uds. recuerdan la película "" El Depredador"" ?
","https://media.rpp.pe/cutter/audio/capital/2019/11/26/54.mp3"
"Incubos: Existen los demonios violadores","Episodio del 25/11/2019","
¿Hay un aumento de estos casos, o es que siempre ocurrieron pero ahora las mujeres se atreven a hablar más abiertamente? Nuestro conductor Anthony Choy conversó en extenso con el investigador César Rojas.
","https://media.rpp.pe/cutter/audio/capital/2019/11/25/54.mp3"
"Viaje a Otra Dimensión Kids","Episodio del 22/11/2019","
Viaje a Otra Dimensión Kids es la edición especial para los más jóvenes... Con Anthony Choy
","https://media.rpp.pe/cutter/audio/capital/2019/11/22/54.mp3"
"Eventos paranormales en discotecas de Arequipa","Episodio del 21/11/2019","
El investigador Rafael  Mercado reveló detalles de un hecho escalofriante e inexplicables en discotecas de Arequipa ¿qué fue lo que ocurrió?
","https://media.rpp.pe/cutter/audio/capital/2019/11/21/54.mp3"
"Encuentros con extraterrestres: escritura alienígena","Episodio del 20/11/2019","
Jessica Portugal contó sus experiencias paranormales con extraños seres. Enterate los detalles en ""Viaje a Otra Dimensión"".
","https://media.rpp.pe/cutter/audio/capital/2019/11/20/54.mp3"
"Muñecos poseidos: la terrorífica historia de Howdy Doddy","Episodio del 19/11/2019","
El Director de la Casa Museo del Terror, Emiio Obregón, hizo revelaciones que te dejarán ""con los pelos de punta"". 
","https://media.rpp.pe/cutter/audio/capital/2019/11/19/54.mp3"
"Reptilianos ¿están camuflados entre nosotros?","Episodio del 18/11/2019","
En dialogo con Anthony Choy, la investigadora Stephanie Espinoza contó con detalles sus encuentros con estos extraños seres.
","https://media.rpp.pe/cutter/audio/capital/2019/11/18/54.mp3"
"Viaje a Otra Dimensión: Especial niños","Episodio del 15/11/2019","
Viaje a Otra Dimensión: Especial niños. Con motivo del partido Perú-Colombia hoy edición más pequeña en todos los sentidos...
","https://media.rpp.pe/cutter/audio/capital/crop/2019/11/15/46275.mp3"
"Acoso mortal: “lo que nos trajimos... del cementerio”","Episodio del 14/11/2019","
¿Nos podemos llevar un espíritu maligno a casa tras haber visitado un camposanto? Investigador asegura que ‘algo’ lo ahorcó en el Cementerio Baquíjano ubicado en el Callao y siguió hasta su hogar donde empezaron a ocurrir espeluznantes fenómenos paranormales… En ‘Viaje a otra dimensión’… ‘Acoso mortal: lo que nos trajimos... del cementerio’
","https://media.rpp.pe/cutter/audio/capital/2019/11/14/54.mp3"
"Cementerio El Ángel… los sorprendentes hallazgos","Episodio del 13/11/2019","
¿Es verdad que médiums observaron cosas inexplicables en nuestra visita al Cementerio ‘El Ángel’ en el distrito de El Agustino? ¿Espíritus o algo quizás peor…? También… un vigilante contó que hay almas que llaman por su nombre a los visitantes, que sus compañeros vieron espíritus errantes, ángeles y hasta duendes que tiran piedras. En 'Viaje a otra dimensión’: ‘Cementerio El Ángel… los sorprendentes hallazgos’
","https://media.rpp.pe/cutter/audio/capital/2019/11/13/54.mp3"
"La ‘Perricholi’: actividad paranormal en su casa de Huánuco ","Episodio del 12/11/2019","
Turistas que visitaron la casa de María Micaela Villegas y Hurtado de Mendoza, la 'Perricholi', aseguran haber visto el fantasma de quizás una de las mujeres huanuqueñas más famosas de todo el Perú. Christian Bayro, periodista de investigación, fue hasta su hogar donde fue testigo de una inusual actividad paranormal… También hablamos del ‘Ekeko’, ¿es verdad que quienes se toparon con él y lo ayudaron fueron bendecidos con abundante riqueza? 

","https://media.rpp.pe/cutter/audio/capital/2019/11/12/54.mp3"
